node
Salma Arastu
Arun Kumar Bajaj
Chinmoy Barma
Imroz (painter)
Peace Kanwal
Siddharth Katragadda
Ahmer Khan
Seema Kohli
Soorya Krishnamoorthy
Pratip Munsi
Gokulchandra Nag
Mubarack Nissa
Rajesh Pullarwar
Dipesh Raj
Shukhalata Rao
Upendrakishore Ray Chowdhury
Sukumar Ray
Suchi Reddy
Resting Museum
Rhea Maheshwari
Santa Khurai
Sattyakee D'com Bhuyan
Savindra Sawarkar
Gaganendranath Tagore
Ghulam Muhammad Zaz
Begum Samru
Margaret Bushby Lascelles Cockburn
Gauhar Jaan
Mangala Bayi
Sushila Sundari
Anaita Shroff Adajania
Vidyagauri Adkar
Novera Ahmed
Ameena Ahmad Ahuja
Amal Allana
Navjot Altaf
Kalamandalam Kalyanikutty Amma
V. Anamika
Pratiksha Apurv
Niveditha Arjun
Rukmini Devi Arundale
Bhanu Athaiya
Kavitha Balakrishnan
Balasaraswati
Rina Banerjee
Sara Banerji
Gul Bardhan
Uma Bardhan
Atasi Barua
Hemi Bawa
Protima Bedi
Rehana Begum
Siona Benjamin
Madhuri Bhaduri
Deepti Omchery Bhalla
P. Bhanumathi
Ashwini Bhat
Rohini Bhate
Shama Bhate
Jyotsna Bhatt
Rinki Bhattacharya
Swati Bhise
Pushpa Bhuyan
Gulestan Rustom Billimoria
Sharmila Biswas
Dorothy Bonarjee
Pamella Bordes
Sadhana Bose
Jayasri Burman
Arpana Caur
Mallika Chabba
Pali Chandra
Chandralekha (dancer)
Geeta Chandran
Shoba Chandrasekhar
Sucheta Bhide Chapekar
Shreyasi Chatterjee
Manjari Chaturvedi
Padmini Chettur
Meenakshi Chitharanjan
Chitranibha Chowdhury
Eulie Chowdhury
Sister Claire
Prafulla Dahanukar
Sue Darlow
Bharti Dayal
Prerana Deshpande
Arundhati Devi
Dulari Devi (artist)
Elam Endira Devi
Ganga Devi (painter)
Haobam Ongbi Ngangbi Devi
Karpoori Devi
Kshetrimayum Ongbi Thouranisabi Devi
Mahasundari Devi
Neelamani Devi
Pratima Devi (painter)
Rani Vijaya Devi
Sitara Devi
Vasundhara Devi
Yumlembam Gambhini Devi
Methil Devika
Dhananjayans
Ambika Dhurandhar
Anju Dodiya
Uma Dogra
Vasundhara Doraswamy
Anita Dube
Gaddam Padmaja Reddy
Shanta Gandhi
Dona Ganguly
Ranjana Gauhar
Gautami
Parbati Ghose
Subhashni Giridhar
Kalamandalam Girija
Gopika Varma
Thankamani Gopinath
Nandini Goud
Li Gotami Govinda
Sheela Gowda
Teji Grover
Sonali Gulati
Saba Hasan
Priyambada Mohanty Hejmadi
Usha Rani Hooja
Reba Hore
Reela Hota
Rummana Hussain
V. K. Hymavathy
Asher Jay
Ananda Shankar Jayant
Prayag Jha
Darshana Jhaveri
Gauri Jog
Sosa Joseph
Damayanti Joshi
Indira Kadambi
Shimul Javeri Kadri
Reena Saini Kallat
Thara Kalyan
Kumari Kamala
Revathi Kamath
Priya Kambli
Prema Karanth
Rani Karnaa
Prateeksha Kashi
Vyjayanthi Kashi
Latika Katt
Renuka Kesaramadu
Saroj Khan
Meherbanu Khanam
Anita Khemka
Dasari Kotiratnam
Devyani Krishna
Yamini Krishnamurthy
Kalamandalam Kshemavathy
Govardhan Kumari
Roshan Kumari
Anupama Kundoo
Thankamani Kutty
Shanu Lahiri
Lalita Lajmi
Kumudini Lakhia
Geetanjali Lal
Kalamandalam Leelamma
Neeta Lulla
Maddali Usha Gayatri
Geeta Mahalik
Sheila Makhijani
Nalini Malani
Anu Malhotra
Hema Malini
Aditi Mangaldas
Sonal Mansingh
Laxmi Meher
Rooma Mehra
Pravina Mehta
Shila Mehta
Anjolie Ela Menon
Vimala Menon
Minati Mishra
Perin Jamsetjee Mistri
Suchitra Mitra
Nasreen Mohamedi
Gloria Mohanty
Kumkum Mohanty
Madhulita Mohapatra
Sujata Mohapatra
Monika Correa
Shanthamani Muddaiah
Madhavi Mudgal
Leela Mukherjee
Meera Mukherjee
Mrinalini Mukherjee
Vijaya Mulay
Sobha Naidu
Mira Nair
Sunanda Nair
Shovana Narayan
Kalanidhi Narayanan
Madhu Nataraj
Nina Sabnani
Lata Pada
T. K. Padmini
Gogi Saroj Pal
Sanjukta Panigrahi
Sai Paranjpye
Parvathy Jayaram
Sheela Patel
Kasturi Pattanaik
Nirmala Patwardhan
Beena Paul
Priya Pereira (artist)
Pilloo Pochkhanawala
B. Prabha
Pratibha Prahlad
Pushpamala N.
Sudharani Raghupathy
Ragini Devi
Indrani Rahman
Gargi Raina
Smitha Rajan
Rajasulochana
Rekha Raju
Rathika Ramasamy
Phulan Rani
Maya Rao
Shanta Rao
Uma Rama Rao
Samira Rathod
Anita Ratnam
Raja and Radha Reddy
Kanak Rele
Pamela Rooks
Roshanara
Jyoti Rout
Debashree Roy
Leela Samson
Mallika Sarabhai
Mrinalini Sarabhai
B. S. Saroja
M. K. Saroja
Malavika Sarukkai
Deepa Sashindran
Savitha Sastry
Margi Sathi
Kalamandalam Satyabhama
Sayee–Subbulakshmi
Kiran Segal
Zohra Sehgal
Meenakshi Seshadri
Nelly Sethna
Karuna Shaha
Amala Shankar
Sajitha R. Shankar
Tanusree Shankar
Bulbul Sharma
Geetanjali Sharma
Uma Sharma
Nilima Sheikh
Amrita Sher-Gil
Jasuben Shilpi
Bharati Shivaji
Shobana
Anjum Singh
Arpita Singh
Dayanita Singh
Sarika Singh (Thangka painter)
Shambhavi Singh
Shobha Deepak Singh
Brinda Somaya
Sheila Sri Prakash
M. M. Srilekha
Y.G. Srimati
Kanaka Srinivasan
Padma Subrahmanyam
Anupam Sud
Kalamandalam Sugandhi
Sumitra Bhave–Sunil Sukthankar
Sunayani Devi
Suryakumari
Swathi Somnath
Tara Rajkumar
Sooni Taraporevala
Vasundhara Tewari Broota
Jaya Thyagarajan
Angela Trindade
Laila Tyabji
Surayya Tyabji
Divyaa Unni
Hema Upadhyay
Geeta Vadhera
Saroja Vaidyanathan
Lalita Vakil
Alarmel Valli
Komala Varadan
Rukmini Varma
Kapila Vatsyayan
K. Venkatalakshamma
Mukta Venkatesh
B. R. Vijayalakshmi
Chitra Vishwanath
Chitra Visweswaran
Homai Vyarawalla
Vyjayanthimala
Rajashree Warrier
Anusha Yadav
Medha Yodh
Shama Zaidi
Zarina (artist)
Dhruvi Acharya
Mansi Aggarwal
Charuvi Agrawal
Niranjani Ahathian
Iloosh Ahluwalia
Aishwarya Rajinikanth
Mamata Banerjee
Ritu Beri
Vasuki Bhaskar
Mrunalini Bhosale
Kalamandalam Bindhulekha
Suchitra Chandrabose
Swarna Chitrakar
Prem Chowdhry
Qamar Dagar
Dhvani Desai
Sita Devi (painter)
Roshni Dinaker
Anita Dongre
Bondina Elangbam
Opashona Ghosh
Manisha Gulyani
Meghna Gulzar
Masaba Gupta
Shilpa Gupta
Nishtha Jain
Padmapriya Janakiraman
B. Jaya
Kruthika Jayakumar
Meg Jayanth
Harinie Jeevitha
Kadak Collective
Kala (choreographer)
Geeta Kapur (choreographer)
Sneha Kapoor
Phulwa Khamkar
Faiza Ahmad Khan
Farah Khan
Gauri Khan
Niharika Khan
Neeraja Kona
Divya Khosla Kumar
Srimati Lal
Murugashankari Leo
Madhumitha (director)
Manjari Makijany
Leena Manimekalai
Aparna B. Marar
Seema Mehta
Anjali Menon
Sita Menon
Vaibhavi Merchant
Baisali Mohanty
Ranu Mukherjee
Sharmistha Mukherjee
Smriti Mundhra
Kanaka Murthy
Rouble Nagi
Sajna Najam
B. V. Nandini Reddy
Sarah Naqvi
Yamini Nayar
Kota Neelima
Nirupama Rajendra
Deepali Noor
Kuzana Ogg
Rajshree Ojha
Madhvi Parekh
Amruta Patil
Agnimitra Paul
Ketaki Pimpalkhare
Sudha Kongara
Anita Pratap
Ameira Punvani
Malvika Raj
Soundarya Rajinikanth
Gitanjali Rao
Kiran Rao
Roopa Rao
Sangieta Rao
Bhavana Reddy
Yamini Reddy
Roopa Revathi
Nandita Roy
Tara Sabharwal
Sameera Saneesh
Gulabo Sapera
Mithu Sen
Tejal Shah
Halitha Shameem
Asha Sharath
Ranjani Shettar
Gauri Shinde
Aarti Shrivastava
Janine Shroff
Anjuli Shukla
Japani Shyam
Nankusia Shyam
Parismita Singh
Emelina Soares
Kalki Subramaniam
Karuna Sukka
Sunanda (singer)
Vaishnavi Sundar
Swapna Sundari (dancer)
Sakhi Thomas
Vasudha Thozhur
Rupy C. Tut
Anita Udeep
Varsha Shilpa
Vinita Vasu
Vidhu Vincent
Shabnam Virmani
Paromita Vohra
Durga Bai Vyam
Malavika Wales
Lekha Washington
Stephy Zaviour
Gundan Anivaritachari
Jakanachari
Ruvari Malithamma
Annamacharya
Prathivadhi Bhayankaram Annangaracharya
Arunagirinathar
Baiju Bawra
Sankardev
Vyasatirtha
Kanhopatra
Basawan
Farrukh Beg
Farrukh Chela
Manohar Das
Daswanth
Miskin (painter)
Mushfiq
Nanha (painter)
Abd al-Samad
Ataullah Rashidi
Hiroji Indulkar
Ustad Ahmad Lahori
Abu'l-Hasan (artist)
Bichitr
Bishandas
Daulat (artist)
Govardhan (artist)
Ustad Mansur
Nisardin
Sahibdin
Panchanan Karmakar
Ram Singh Malam
Vidyadhar Bhattacharya
Nihâl Chand
Ghulam Murtaza Khan
Manaku of Guler
Nainsukh
Mola Ram
Sheikh Zainuddin
Pratap Singh Giani
Pestonji Bomanji
Chokha (painter)
M. V. Dhurandhar
S. H. Godbole
Richard A. Pauling
M F Pithawalla
Bhawanrao Shriniwasrao Pant Pratinidhi
Jyotirindranath Tagore
António Xavier Trindade
C. Raja Raja Varma
Guru Kunchu Kurup
Pattikkamthodi Ravunni Menon
Kavalappara Narayanan Nair
Chenganoor Raman Pillai
Moran Sarkar
Lehna Singh Majithia
Frederick William Stevens
Shaikh Muhammad Amir of Karraya
Ghulam Ali Khan
Mazhar Ali Khan (painter)
Rabindranath Tagore
Minus Megerdich Zorab
Darogha Ubbas Alli
Bourne & Shepherd
Lala Deen Dayal
Robert Gill
Shripad Damodar Satwalekar
James Waterhouse
Baua Devi
Sukumar (writer)
Belinda Wright (conservationist)
Laxman Aelay
J. M. Ahivasi
S. Shakir Ali
V. R. Amberkar
Rajiv Anchal
K. H. Ara
Ben Avram
Sekar Ayyanthole
Aziz (artist)
Khaleel Aziz
Adivi Baapiraju
Sadanand Bakre
V. Balan
Bapu (director)
Asim Basu
Manjit Bawa
N. S. Bendre
Dhanraj Bhagat
Jyoti Bhatt
Bikash Bhattacharjee
Ranbir Singh Bisht
Bijay Biswaal
Sukumar Bose
Eric Bowen
Sakti Burman
Nek Chand
Bansi Chandragupta
Satya Narayana Charka
Shiavax Chavda
Jonnalagadda Gurappa Chetty
Kanhai Chitrakar
Dilip Chitre
Jagmohan Chopra
Bijan Choudhury
D. P. Roy Choudhury
Dhiraj Choudhury
Antonio Piedade da Cruz
Dinanath Dalal
Biman Bihari Das
Jatin Das (painter)
Sunil Das
Jahar Dasgupta
M. R. D. Dattan
Shanti Dave
Biren De
Ravi Deep
B.D. Dethan
M. V. Devan
Manishi Dey
Avtarjeet Singh Dhanjal
Pralhad Anant Dhond
Atul Dodiya
Amit Dutt (painter)
K. A. Francis
H. A. Gade
S. M. Ganapathy
Vijay Gaur
Gopal Ghose
Kalipada Ghoshal
J. D. Gondhalekar
Laxma Goud
Ashok Gudigar
Satish Gujral
Manav Gupta
Sawlaram Haldankar
M. F. Husain
A. V. Ilango
HC Javaraya
Surendra Pal Joshi
Shree Lal Joshi
Gerry Judah
Jitish Kallat
Kamal Shedge
G. Kamble
Pramod Kamble
Govind Kanhai
Krishn Kanhai
Chintamoni Kar
Surendranath Kar
Prokash Karmakar
Vinayak Pandurang Karmarkar
Manohar Kaul
V. R. Khajuria
Bhupen Khakhar
Sanjeev Khandekar
Bishamber Khanna
Krishen Khanna
Mohammed Yusuf Khatri
Gopal Swami Khetanchi
Francis Kodankandath
Valsan Koorma Kolleri
K. P. Krishnakumar
D. G. Kulkarni
K. S. Kulkarni
Udai Lal Kumhar
Kanayi Kunhiraman
Paresh Maity
Somenath Maity
Hemen Majumdar
Mahirwan Mamtani
Jayanth Manda
Ananta Mandal
Chandrakant Mandare
Ravi Mandlik
Maniam
Trotsky Marudu
Jivya Soma Mashe
Nirode Mazumdar
Jayanta Meher
Kailash Chandra Meher
Jaideep Mehrotra
T.A.S Menon
Raghunath Mohapatra
Rabin Mondal
Samir Mondal
Bhalchandra Dattatray Mondhe
Sailoz Mookherjea
Archibald Herman Müller
Mumbiram
Mani Nagappa
Sachida Nagdev
A. S. Nair
Mammiyur Krishnan Kutty Nair
Surendran Nair
Namboothiri (artist)
S. Nandagopal
Badri Narayan
Narottam Narayan
Akkitham Narayanan
Vamona Navelcar
Sunil Padwal
Laxman Pai
Baburao Painter
Aditya Pande
S. M. Pandit
K. C. S. Paniker
Shanti Panchal
Manu Parekh
Jayant Parikh
Ratan Parimoo
Dashrath Patel
Jeram Patel
Ramesh Pateria
Dinanath Pathy
Sudhir Patwardhan
Raghunath Krishna Phadke
Cheenu Pillai
Devi Prasad (artist)
Dadi Pudumjee
Ganesh Pyne
Sohan Qadri
Bairu Raghuram
A. A. Raiba
Kapu Rajaiah
C. Kondaiah Raju
Damerla Rama Rao
Siramdasu Venkata Rama Rao
Harish Raut
R. D. Raval
Ravishankar Raval
S. H. Raza
Krishna Reddy (artist)
Mallikarjuna Reddy
Raj Rewal
Lancelot Ribeiro
N. N. Rimzon
Sarbari Roy Choudhury
Jamini Roy
Kisory Roy
Sudip Roy
Jehangir Sabavala
Baburao Sadwelkar
Piraji Sagara
Sudarshan Sahoo
B. C. Sanyal
Sadashiv Sathe
Sathyapal T. A
Madhav Satwalekar
Bireswar Sen
Somalal Shah
B. G. Sharma
Gopal Prasad Sharma
Vijay Sharma
Gulam Mohammed Sheikh
Jangarh Singh Shyam
Sidharth (artist)
Devender Singh
Gurcharan Singh (painter)
Gurpreet Singh (artist)
Paramjit Singh (artist)
S. G. Thakur Singh
Shiv Singh
Sobha Singh (painter)
Tara Singh (artist)
Beohar Rammanohar Sinha
Jagdeep Smart
Govind Solegaonkar
K. A. Soman
Rajesh Soni
F. N. Souza
Bholekar Srihari
Pannuru Sripathy
Muthiah Sthapati
Sumarendra Nath Gupta
Vivan Sundaram
Jadunath Supakar
Ram V. Sutar
S. N. Swamy (artist)
Abanindranath Tagore
P. R. Thippeswamy
Rajendra Tiku
Shivaji Tupe
Chintan Upadhyay
Gautam Vaghela
Thota Vaikuntam
V. S. Valiathan
Tryambak Vasekar
K. Venkatappa
Vidyasankar Sthapathy
Rakesh Vijay
Ram Gopal Vijayvargiya
Paris Viswanathan
Dina Nath Walli
Asim Waqif
Frank Wesley
John Wilkins (Indian artist)
Yadla Gopalarao
Jai Zharotia
Anjali Mehr
Malaika Arora
Atombapu Sharma
Avijit Das
M. S. Sundari Bai
Sadanam P. V. Balakrishnan
Mani Bardhan
Manju Bhargavi
Bhavana (Kannada actress)
Indira P. P. Bora
Mani Damodara Chakyar
Mani Madhava Chakyar
Moozhikkulam Kochukuttan Chakyar
C. V. Chandrasekhar
Guru Chandrasekharan
Hema Chaudhary
Laxmi Chhaya
Makar Dhwaja Darogha
Chitresh Das
Deba Prasad Das
Maguni Charan Das
Pankaj Charan Das
Shiamak Davar
Astad Deboo
Leela Desai
Prabhu Deva
Kalamandalam Devaki
Gopal Prasad Dubey
Nandini Ghosal
Ram Gopal (dancer)
Srirangam Gopalaratnam
Lakshmi Gopalaswamy
Kalamandalam Gopi
Guru Gopinath
Jatin Goswami
Guru Kelu Nair
Sadanam K. Harikumaran
Sunayana Hazarilal
S. Ganesa Iyer
Udupi Jayaram
Jayshree T.
Surendra Nath Jena
Mohanrao Kallianpurkar
Kalyan (choreographer)
Sunil Kothari
Kottakkal Chandrasekharan
E. Krishna Iyer
Gopi Krishna (dancer)
Sadanam Krishnankutty
Mythili Kumar
Sampath Kumar D.Y.
Vazhenkada Kunchu Nair
Kalamandalam Kuttan Asan
P. Govindan Kutty
Adyar K. Lakshman
Abhimanyu Lal
Madan–Harini
Birju Maharaj
Lachhu Maharaj
Shambhu Maharaj
Kelucharan Mohapatra
Laxmipriya Mohapatra
Ratikant Mohapatra
Chemancheri Kunhiraman Nair
Kalamandalam Krishnan Nair
Kudamaloor Karunakaran Nair
Kalamandalam Sivan Namboodiri
M. P. S. Namboodiri
Nelliyode Vasudevan Namboodiri
Rajee Narayan
S. Narmada
Kavungal Chathunni Panicker
Chavara Parukutty Amma
Acharya Parvati Kumar
Thonnakkal Peethambaran
Champakulam Pachu Pillai
K. N. Dandayudhapani Pillai
Vasu Pisharody
Gangadhar Pradhan
Pushkala Gopal
Vedantam Raghavayya
Raghuram
Ragini (actress)
Sukanya Rahman
P. L. Raj
T. R. Rajakumari
Kalamandalam Rajan
Ramachandran Unnithan
Ramanchakyar
N. T. Rama Rao Jr.
Veernala Jayarama Rao
Madhumita Raut
Mayadhar Raut
Sohini Ray
Bhagaban Sahu
Kalamandalam Saraswathi
V. Satyanarayana Sarma
Uday Shankar
Shanthi (choreographer)
Kalamandalam Sindhu
Gracy Singh
Guru Bipin Singh
Maisnam Amubi Singh
Rajkumar Achouba Singh
Rajkumar Singhajit Singh
Sougaijam Thanil Singh
Thingbaijam Babu Singh
Kottakkal Sivaraman
K. Sivasankar
Shanmukha Srinivas
Meenakshi Srinivasan
Sruthy Jayan
Krithika Subrahmanian
Mugur Sundar
Raju Sundaram
Menaka Thakkar
Kunjikkuttan Thampuran (actor)
Sreedevi Unni
Hari Uppal
Shirin Vajifdar
Jagannatha Varma
K. L. V. Vasantha
Vazhenkada Vijayan
Vempati Chinna Satyam
Margi Vijayakumar
Kalakshetra Vilasini
Vineeth
Esther Victoria Abraham
Dolly Ahluwalia
Ebrahim Alkazi
Bharathan
Suresh Bhardwaj (actor)
Dinanath Bhargava
Samir Chanda
Sabu Cyril
Lalit Dalmia
Vishnupant Govind Damle
Nitin Chandrakant Desai
Dilip Chhabria
Bina Sarkar Ellias
GK (art director)
A. V. Gokuldas
Bindiya Goswami
K. H. Hussain
Indrans
Rahul Jain
R. K. Joshi
Reza Kabul
Simple Kapadia
Vaishali Kasaravalli
Munnu Kasliwal
Tariq Umar Khan
Wasiq Khan
Savitri Khanolkar
Manoviraj Khosla
Sunita Kohli
P. Krishnamoorthy
D. Udaya Kumar
Anil Laul
Ranjit Makkuni
Manish Malhotra
T. Muthuraj
Jeeva (artist)
Satyendra Pakhale
Eugene Pandala
Sudha Pennathur
Tulsi Ramsay
Satyabrata Rout
Nitish Roy
Sharmishta Roy
Sudhendu Roy
Amba Sanyal
S. B. Satheeshan
M. S. Sathyu
Vinay Saynekar
Partho Sen-Gupta
Orijit Sen
Tapas Sen
Nikhil Baran Sengupta
Rajeev Sethi
Reza Shariffi
Ambaji Shinde
Anna Singh
Tarun Tahiliani
Thota Tharani
Ratan Thiyam
Rajesh Touchriver
Suneet Varma
Chhel Vayeda
Pingali Venkayya
R. Verman
Jockin Arputham
Sarbjit Bahga
Laurie Baker
Claude Batley
Jack Bertoli
Gautam Bhatia (architect)
Mihir Bhatt
M. N. Buch
Laxman Mahadeo Chitale
J. K. Choudhury
Didi Contractor
Hafeez Contractor
Charles Correa
Gerard da Cunha
Arunendu Das
Ganesh Bhikaji Deolalikar
Vikas Dilawari
B. V. Doshi
Nari Gandhi
Karl Malte von Heinz
Bijoy Jain
Krishnarao Jaisim
Zain Yar Jung
I. M. Kadri
Achyut Kanvinde
Sheo Dan Mal
Rahul Mehrotra
Yahya Merchant
Piloo Mody
Ranjit Naik
W. M. Namjoshi
Ratish Nanda
Prem Nath (architect)
Prasanna Pandian
Bimal Patel (architect)
Hasmukh Patel (architect)
Shashi Prabhu
Aditya Prakash (architect)
Shiv Nath Prasad
Sunand Prasad
Vaijnath Mohiniraj Pundlik
Coimbatore Narayana Rao Raghavendran
Habib Rahman (architect)
Anant Raje
Kamal Sagar
G. Shankar
Manmohan Nath Sharma
Sangeet Sharma
Kuldip Singh (architect)
V. Ganapati Sthapati
File:Joseph Allen Stein 1986.JPG
M. R. Acharekar
Ramkishan Adig
K. M. Adimoolam
Ratnadeep Adivrekar
G. Aravindan
Kathir Arumugam
Asu Dev
Madhavrao Bagal
Bhuri Bai
Jibeswar Baruah
Neel Pawan Baruah
Prabhakar Barwe
Natvar Bhavsar
Nandalal Bose
Sobha Brahma
Maya Burman
Avinash Chandra
Jogen Chowdhury
Edmund Thomas Clint
Kanu Desai
Carl D'Silva
Angelo da Fonseca
Samuel Fyzee-Rahamin
Vasudeo S. Gaitonde
Karan Gera
Subodh Gupta
Asit Kumar Haldar
K. K. Hebbar
Somnath Hore
Owais Husain
Shamshad Hussain
K. Janardanan
Sambhaji Kadam
Sanat Kar
Anil Karanjai
C. N. Karunakaran
Manjot Kaur
Imtiyaz Ali Khan
Sudhir Khastgir
Rajan Krishnan
Kshitindranath Mazumdar
Ram Kumar (artist)
E. Kumaril Swamy
R. K. Laxman
Upendra Maharathi
Manimala Chitrakar
Yashodhar Mathpal
Tyeb Mehta
K. Madhava Menon
Mario Miranda
Byomakesh Mohanty
Kaiko Moti
Benode Behari Mukherjee
N. Chandrasekharan Nair
Balan Nambiar
Akbar Padamsee
Baiju Parthan
Gieve Patel
C. S. N. Patnaik
A. R. Poduval
C. K. Ra
A. Ramachandran
P. K. Sadanandan
Mohan Samant
T. V. Santhosh
Amarnath Sehgal
Paritosh Sen
Haku Shah
Om Prakash Sharma (artist)
Kripal Singh Shekhawat
Sudarshan Shetty
